kegg_pathway	entrezgene	kegg_pathway_definition
00010	PA0552	Glycolysis / Gluconeogenesis
00010	PA0555	Glycolysis / Gluconeogenesis
00010	PA0887	Glycolysis / Gluconeogenesis
00010	PA1027	Glycolysis / Gluconeogenesis
00010	PA1498	Glycolysis / Gluconeogenesis
00010	PA1587	Glycolysis / Gluconeogenesis
00010	PA1770	Glycolysis / Gluconeogenesis
00010	PA1982	Glycolysis / Gluconeogenesis
00010	PA1984	Glycolysis / Gluconeogenesis
00010	PA2250	Glycolysis / Gluconeogenesis
00010	PA2275	Glycolysis / Gluconeogenesis
00010	PA2323	Glycolysis / Gluconeogenesis
00010	PA2555	Glycolysis / Gluconeogenesis
00010	PA3001	Glycolysis / Gluconeogenesis
00010	PA3193	Glycolysis / Gluconeogenesis
00010	PA3195	Glycolysis / Gluconeogenesis
00010	PA3415	Glycolysis / Gluconeogenesis
00010	PA3416	Glycolysis / Gluconeogenesis
00010	PA3417	Glycolysis / Gluconeogenesis
00010	PA3629	Glycolysis / Gluconeogenesis
00010	PA3635	Glycolysis / Gluconeogenesis
00010	PA4022	Glycolysis / Gluconeogenesis
00010	PA4152	Glycolysis / Gluconeogenesis
00010	PA4329	Glycolysis / Gluconeogenesis
00010	PA4732	Glycolysis / Gluconeogenesis
00010	PA4733	Glycolysis / Gluconeogenesis
00010	PA4748	Glycolysis / Gluconeogenesis
00010	PA4829	Glycolysis / Gluconeogenesis
00010	PA4899	Glycolysis / Gluconeogenesis
00010	PA5015	Glycolysis / Gluconeogenesis
00010	PA5016	Glycolysis / Gluconeogenesis
00010	PA5110	Glycolysis / Gluconeogenesis
00010	PA5131	Glycolysis / Gluconeogenesis
00010	PA5192	Glycolysis / Gluconeogenesis
00010	PA5322	Glycolysis / Gluconeogenesis
00010	PA5422	Glycolysis / Gluconeogenesis
00010	PA5427	Glycolysis / Gluconeogenesis
00020	PA0854	Citrate cycle (TCA cycle)
00020	PA1562	Citrate cycle (TCA cycle)
00020	PA1580	Citrate cycle (TCA cycle)
00020	PA1581	Citrate cycle (TCA cycle)
00020	PA1582	Citrate cycle (TCA cycle)
00020	PA1583	Citrate cycle (TCA cycle)
00020	PA1584	Citrate cycle (TCA cycle)
00020	PA1585	Citrate cycle (TCA cycle)
00020	PA1586	Citrate cycle (TCA cycle)
00020	PA1587	Citrate cycle (TCA cycle)
00020	PA1588	Citrate cycle (TCA cycle)
00020	PA1589	Citrate cycle (TCA cycle)
00020	PA1787	Citrate cycle (TCA cycle)
00020	PA2250	Citrate cycle (TCA cycle)
00020	PA2623	Citrate cycle (TCA cycle)
00020	PA2624	Citrate cycle (TCA cycle)
00020	PA3415	Citrate cycle (TCA cycle)
00020	PA3416	Citrate cycle (TCA cycle)
00020	PA3417	Citrate cycle (TCA cycle)
00020	PA3452	Citrate cycle (TCA cycle)
00020	PA4152	Citrate cycle (TCA cycle)
00020	PA4333	Citrate cycle (TCA cycle)
00020	PA4470	Citrate cycle (TCA cycle)
00020	PA4640	Citrate cycle (TCA cycle)
00020	PA4829	Citrate cycle (TCA cycle)
00020	PA5015	Citrate cycle (TCA cycle)
00020	PA5016	Citrate cycle (TCA cycle)
00020	PA5192	Citrate cycle (TCA cycle)
00020	PA5435	Citrate cycle (TCA cycle)
00020	PA5436	Citrate cycle (TCA cycle)
00020	PA5445	Citrate cycle (TCA cycle)
00030	PA0330	Pentose phosphate pathway
00030	PA0548	Pentose phosphate pathway
00030	PA0555	Pentose phosphate pathway
00030	PA0607	Pentose phosphate pathway
00030	PA0849	Pentose phosphate pathway
00030	PA1499	Pentose phosphate pathway
00030	PA1950	Pentose phosphate pathway
00030	PA2261	Pentose phosphate pathway
00030	PA2263	Pentose phosphate pathway
00030	PA2264	Pentose phosphate pathway
00030	PA2265	Pentose phosphate pathway
00030	PA2290	Pentose phosphate pathway
00030	PA2321	Pentose phosphate pathway
00030	PA2323	Pentose phosphate pathway
00030	PA2796	Pentose phosphate pathway
00030	PA3131	Pentose phosphate pathway
00030	PA3181	Pentose phosphate pathway
00030	PA3182	Pentose phosphate pathway
00030	PA3183	Pentose phosphate pathway
00030	PA3194	Pentose phosphate pathway
00030	PA3373	Pentose phosphate pathway
00030	PA3896	Pentose phosphate pathway
00030	PA4670	Pentose phosphate pathway
00030	PA4732	Pentose phosphate pathway
00030	PA5110	Pentose phosphate pathway
00030	PA5322	Pentose phosphate pathway
00030	PA5439	Pentose phosphate pathway
00040	PA0607	Pentose and glucuronate interconversions
00040	PA1253	Pentose and glucuronate interconversions
00040	PA2022	Pentose and glucuronate interconversions
00040	PA2023	Pentose and glucuronate interconversions
00040	PA2217	Pentose and glucuronate interconversions
00040	PA2343	Pentose and glucuronate interconversions
00040	PA3559	Pentose and glucuronate interconversions
00051	PA0555	Fructose and mannose metabolism
00051	PA2215	Fructose and mannose metabolism
00051	PA2232	Fructose and mannose metabolism
00051	PA2342	Fructose and mannose metabolism
00051	PA2344	Fructose and mannose metabolism
00051	PA3540	Fructose and mannose metabolism
00051	PA3541	Fructose and mannose metabolism
00051	PA3542	Fructose and mannose metabolism
00051	PA3545	Fructose and mannose metabolism
00051	PA3547	Fructose and mannose metabolism
00051	PA3551	Fructose and mannose metabolism
00051	PA3560	Fructose and mannose metabolism
00051	PA3561	Fructose and mannose metabolism
00051	PA4748	Fructose and mannose metabolism
00051	PA5110	Fructose and mannose metabolism
00051	PA5322	Fructose and mannose metabolism
00051	PA5452	Fructose and mannose metabolism
00051	PA5453	Fructose and mannose metabolism
00051	PA5454	Fructose and mannose metabolism
00052	PA1384	Galactose metabolism
00052	PA2023	Galactose metabolism
00052	PA3193	Galactose metabolism
00052	PA4068	Galactose metabolism
00052	PA5322	Galactose metabolism
00053	PA1027	Ascorbate and aldarate metabolism
00053	PA1253	Ascorbate and aldarate metabolism
00053	PA2022	Ascorbate and aldarate metabolism
00053	PA2217	Ascorbate and aldarate metabolism
00053	PA3559	Ascorbate and aldarate metabolism
00053	PA4899	Ascorbate and aldarate metabolism
00061	PA0098	Fatty acid biosynthesis
00061	PA0182	Fatty acid biosynthesis
00061	PA0494	Fatty acid biosynthesis
00061	PA1373	Fatty acid biosynthesis
00061	PA1470	Fatty acid biosynthesis
00061	PA1609	Fatty acid biosynthesis
